userId,user_category1,user_category2,user_category3,risk_tolerance,amount,reward,time_horizon,features
1,59,57,8,medium,3214906,ST,1y,친환경
2,1,2,3,medium,3194733,ST,1y,디지털
3,7,5,2,low,465799,ST,6m,플랫폼
4,11,13,17,high,4838497,ST,5y,요식업
5,19,28,51,medium,3636490,ST,1y,스포츠
6,29,35,36,medium,4525901,ST,1y,엔터테인먼트
7,37,41,2,medium,4105713,ST,3y,기업솔루션
8,44,45,46,medium,853254,ST,10y,제조
9,21,52,51,high,2265365,ST,6m,리빙
10,39,43,44,high,1325209,ST,1y,전문기술
11,44,66,1,low,1762661,ST,3y,교통
12,68,7,5,low,366924,ST,10y,핀테크
13,35,36,61,low,2057243,ST,3y,문화
14,1,5,6,medium,692449,ST,5y,얼리어답터
15,1,2,5,medium,2927991,ST,3m,성장가능성
16,5,21,1,medium,2444569,ST,3y,트렌드세터
17,5,1,66,high,1941367,ST,6m,혁신아이콘
18,68,7,2,high,2490010,ST,2y,수익성
19,59,65,14,medium,2977991,ST,1y,사회적가치
20,11,21,51,low,4005374,ST,3y,일상제품